document_id,report_month,source_type,template_version,processed_at,confidence,average_daily_census,median_length_of_stay_days,pct_18_21,pct_55_plus,median_age,homeless_pct,medicaid_pct,mental_health_history_pct,substance_use_history_pct,chronic_medical_history_pct
2023-08,2023-08,patient_profile,pp_v1,2026-07-06T01:57:55.832673+00:00,0.9199999999999999,6268,133,9.0,9.0,34,29.0,83.0,53.0,27.0,29.0
2023-10,2023-10,patient_profile,pp_v1,2026-07-06T01:58:25.453331+00:00,0.9199999999999999,6251,140,9.0,9.0,34,27.0,83.0,54.0,27.0,30.0
2023-11,2023-11,patient_profile,pp_v1,2026-07-06T01:58:49.135893+00:00,0.9199999999999999,6226,140,9.0,9.0,34,27.0,83.0,54.0,27.0,29.0
2023-12,2023-12,patient_profile,pp_v1,2026-07-06T01:59:06.256696+00:00,0.9199999999999999,6155,146,9.0,9.0,34,27.0,83.0,55.0,27.0,29.0
2024-01,2024-01,patient_profile,pp_v1,2026-07-06T01:59:22.918265+00:00,0.9199999999999999,6207,148,9.0,9.0,34,26.0,84.0,55.0,27.0,29.0
2024-02,2024-02,patient_profile,pp_v1,2026-07-06T01:59:40.253014+00:00,0.9199999999999999,6310,145,9.0,9.0,34,26.0,84.0,55.0,27.0,29.0
2024-03,2024-03,patient_profile,pp_v1,2026-07-06T02:00:09.525349+00:00,0.9199999999999999,6383,139,8.0,9.0,34,26.0,83.0,54.0,26.0,29.0
2024-04,2024-04,patient_profile,pp_v1,2026-07-06T02:01:02.647335+00:00,0.9199999999999999,6400,134,8.0,9.0,34,26.0,83.0,55.0,26.0,28.0
2024-05,2024-05,patient_profile,pp_v1,2026-07-06T02:02:02.225665+00:00,0.9199999999999999,6391,128,8.0,9.0,34,26.0,83.0,55.0,27.0,28.0
2024-06,2024-06,patient_profile,pp_v1,2026-07-06T02:02:22.905004+00:00,0.9199999999999999,6461,126,8.0,9.0,34,25.0,84.0,55.0,27.0,28.0
2024-07,2024-07,patient_profile,pp_v1,2026-07-06T02:02:42.833705+00:00,0.9199999999999999,6469,127,8.0,9.0,34,25.0,84.0,55.0,27.0,28.0
